taxon,rbcL,matK,ITS,trnL-trnF,
Acalypha gracilens,KJ773245.1,KJ772523.1,,,
Acalypha rhomboidea,U00435.1,,DQ006003.1,,
Acer negundo,DQ978417.1,EU749281.1,AY605406.1,AF401188.1,
Acer nigrum,DQ978431.1,,AY605324.1,DQ978560.1,
Acer rubrum,DQ459381.1,EU749286.1,AY605460.1,KF977443.1,
Acer saccharinum,HQ266407.1,EU749289.1,AY605463.1,HQ266573.1,
Acer saccharum,DQ978430.1,AY724265.1,DQ366139.1,AF401173.1,
Acorus americanus,DQ069499.1,DQ069583.1,DQ008850.1,EU814689.1,
Actaea pachypoda,EU053899.1,HQ593155.1,JQ033532.1,,
Actaea rubra,KF724233.1,HQ593156.1,JQ033570.1,,
Adiantum pedatum,KF186525.1,KJ605529.1,,JN052905.1,
Adlumia fungosa,,LN610916.1,,HE603352.1,
Aesculus glabra,KF724285.1,AY968671.1,EU687607.1,,
Agalinis aspera,,,,,
Agalinis gattingeri,EU828224.1,GU943685.1,EU827823.1,EU828156.1,
Agalinis paupercula,GU943627.1,GU943713.1,EU827853.1,EU828181.1,
Agalinis purpurea,EU828238.1,JX091307.1,EU827861.1,EU828189.1,
Agalinis skinneriana,EU828239.1,GU943724.1,EU827865.1,EU828193.1,
Agalinis tenuifolia,AY563936.1,AY563916.1,EU827875.1,EU828204.1,
Agastache nepetoides,,,GQ456135.1,,
Agastache scrophulariaefolia,,,GQ456138.1,,
Ageratina altissima,HQ590095.1,HQ593292.1,AF177782.1,,
Agrimonia gryposepala,HQ589939.1,HQ593157.1,,,
Agrimonia parviflora,U06791.1,,AY634863.1,,
Agrimonia pubescens,,,,,
Agrimonia rostellata,,,,,
Agrimonia striata,KJ593193.1,KJ840850.1,,,
Agrostis hyemalis,KJ773252.1,KJ772528.1,HQ600526.1,EU119353.1,
Agrostis perennans,KJ773253.1,KM212066.1,,,
Agrostis scabra,JX848486.1,DQ146807.1,DQ146776.1,,
Agrostis stolonifera,AJ746280.1,FJ231114.1,KM999958.1,DQ336835.1,
Aletris farinosa,JQ417657.1,,,EU186242.1,
Alisma subcordatum,,,DQ339084.1,,
Alisma triviale,HQ901563.1,,DQ339086.1,,
Allium burdickii,,,,,
Allium canadense,KJ773255.1,,KC119642.1,KC138983.2,
Allium cernuum,AJ299133.1,,KC119643.1,KC138984.2,
Allium stellatum,,,KC119693.1,KC139036.2,
Allium tricoccum,AJ299110.1,KJ592840.1,KC119704.1,KF550174.1,
Alnus incana,X56618.1,KF419026.1,AJ251666.1,FJ012048.1,
Alnus serrulata,KF418934.1,KF419032.1,AY352322.1,KF419074.1,
Alopecurus aequalis,KF712935.1,JN894037.1,KF713176.1,EU639572.1,
Alopecurus carolinianus,,,,,
Amaranthus hybridus,HM849765.1,KC747146.1,DQ005960.1,,
Amaranthus tuberculatus,,KC747168.1,KF493840.1,,
Ambrosia artemisiifolia,DQ006055.1,HQ593164.1,DQ005969.1,,
Ambrosia trifida,AY215082.1,AY215762.1,DQ005970.1,AY216141.1,
Amelanchier arborea,JQ391253.1,JQ390935.1,EF127041.1,JQ392193.1,
Amelanchier canadensis,JQ391257.1,JQ390937.1,JQ392363.1,JQ392194.1,
Amelanchier humilis,,,U83937.1,,
Amelanchier interior,JQ391249.1,JQ390936.1,,JQ392188.1,
Amelanchier laevis,JQ391259.1,JQ390945.1,JQ392366.1,JQ392196.1,
Amelanchier sanguinea,JQ391245.1,KJ840854.1,JQ392360.1,JQ392197.1,
Ammannia robusta,KF724282.1,,,,
Ammophila breviligulata,AJ784835.1,EF137482.1,,,
Amorpha canescens,,,AY426773.1,,
Amorpha fruticosa,U74212.1,AF270861.1,AY426774.1,,
Amphicarpaea bracteata,EU717257.1,EU717399.1,AF417015.1,EU717317.1,
Andromeda polifolia,AF124572.1,JF801293.1,AF358872.1,JF801624.1,
Andropogon gerardii,AJ784818.1,AF144577.1,DQ005015.1,AY116263.1,
Androsace occidentalis,,,EU655563.1,EU655584.1,
Anemone canadensis,EU053902.1,,AY055387.1,AM268047.1,
Anemone caroliniana,AY055423.1,,AY055403.1,,
Anemone cylindrica,JX848515.1,,JF422889.1,,
Anemone patens,JX848516.1,KC475640.1,,EU285567.1,
Anemone quinquefolia,JF810696.1,GU257980.1,GU257978.1,KF977444.1,
Anemone virginiana,AF386088.1,HQ593171.1,FJ639898.1,,
Angelica atropurpurea,KF613025.1,,,,
Antennaria neglecta,JX848401.1,HQ593172.1,L40793.1,,
Antennaria plantaginifolia,,,JX524602.1,,
Anticlea elegans,JN417468.1,JN417378.1,AF303725.1,AF303694.1,
Apios americana,EU717285.1,EU717426.1,KF272978.1,EF543425.1,
Aplectrum hyemale,EU391356.1,EF525693.1,AY008468.1,EU266434.1,
Apocynum androsaemifolium,HQ589956.1,EF456263.2,,EF456130.1,
Apocynum cannabinum,HQ384907.1,HQ384552.1,DQ005966.1,HQ412961.1,
Apocynum x,,,,,
Aquilegia canadensis,AY392755.1,EU827653.1,U75656.1,,
Arabidopsis lyrata,AY174652.1,XM_002886827.1,GQ922910.1,LN610043.1,
Arabis pycnocarpa,,,KF547179.1,KF547452.1,
Aralia hispida,KF724255.1,,U66925.1,,
Aralia nudicaulis,HQ589959.1,HQ593176.1,U41674.1,AF382157.1,
Aralia racemosa,GU054520.1,HQ593177.1,U66926.1,GU055090.1,
Arctostaphylos uva-ursi,GU176649.1,AF440411.1,AF091950.1,FJ357293.1,
Arethusa bulbosa,AF074109.1,AF263624.1,AF273338.1,AF519912.1,
Argentina anserina,JX848521.1,AF288113.1,U90788.1,AF348556.1,
Arisaema dracontium,KC466585.1,KC466573.1,,AB982358.1,
Arisaema triphyllum,AY298817.1,KC466577.1,KF977433.1,KF977445.1,
Aristida dichotoma,,,DQ171991.1,DQ172216.1,
Aristida intermedia,,,,,
Aristida longespica,HQ713378.1,HM352806.1,DQ172013.1,DQ172239.1,
Aristida oligantha,HE573350.1,HE573945.1,DQ172020.1,DQ172246.1,
Aristida purpurascens,HQ713380.1,HM352807.1,DQ172028.1,DQ172253.1,
Aristida tuberculosa,,,DQ172062.1,DQ172286.1,
Arnoglossum atriplicifolium,GU817738.1,EF537911.1,EF538154.1,EF538091.1,
Arnoglossum plantagineum,,,EF538155.1,,
Arnoglossum reniforme,,,,,
Aronia prunifolia,JQ391241.1,JQ390930.1,JQ392370.1,JQ392187.1,
Artemisia caudata,,,JF326536.1,,
Artemisia serrata,,,JX051706.1,JX073785.1,
Aruncus dioicus,U06794.1,JQ041784.1,JQ041766.1,AF348536.1,
Asarum canadense,L14290.1,KF408224.1,FJ428645.1,AY689147.1,
Asclepias amplexicaulis,KJ773284.1,KJ772559.1,,,
Asclepias exaltata,L14390.1,,,,
Asclepias incarnata,DQ006053.1,GQ248083.1,DQ005967.1,,
Asclepias lanuginosa,,,,,
Asclepias longifolia,,,,AM295749.1,
Asclepias meadii,,,,,
Asclepias ovalifolia,,,,,
Asclepias perennis,KJ773289.1,KJ772564.1,,,
Asclepias purpurascens,,,,,
Asclepias sullivantii,,,,,
Asclepias syriaca,HQ384906.1,HQ384551.1,,HQ412960.1,
Asclepias tuberosa,GQ248553.1,GQ248084.1,EF590756.1,AF214158.1,
Asclepias verticillata,KJ773290.1,KJ772567.1,,,
Asclepias viridiflora,,,,,
Asimina triloba,AY743441.1,GQ139711.1,GQ139688.1,AY145353.1,
Asplenium platyneuron,AF525272.1,,,AF525240.1,
Asplenium rhizophyllum,KF186530.1,,,AY300083.1,
Astragalus canadensis,,AY386875.1,L10770.1,,
Astragalus neglectus,,,AF121713.1,,
Astragalus tennesseensis,,,,,
Athyrium filix-femina,U05908.1,JF303941.1,,HQ676519.1,
Aureolaria flava,KJ773297.1,KJ772569.1,,,
Aureolaria grandiflora,,,,,
Aureolaria pedicularia,AY563940.1,AY563920.1,,EU828208.1,
Aureolaria virginica,,,,,
Azolla cristata,,,JX297313.1,JX273520.1,
Baptisia alba,KJ773304.1,KJ772576.1,AY773348.1,,
Baptisia bracteata,,,AY773349.1,,
Baptisia tinctoria,Z70120.1,,,,
Bartonia virginica,KF496033.1,KF496070.1,EU812474.1,EU834127.1,
Beckmannia syzigachne,EF125142.1,EF137487.1,EU792342.1,DQ353965.1,
Berberis canadensis,,JQ172859.1,KC575590.1,,
Berula erecta,KM360668.1,JN895702.1,DQ005660.1,,
Besseya bullii,,,AY483211.1,,
Betula alleghaniensis,KF418936.1,AY372015.1,AY761100.1,KF419075.1,
Betula nigra,L01889.2,KJ772579.1,AY761124.1,,
Betula papyrifera,X56617.1,AY372022.1,AF432067.1,FJ012058.1,
Betula populifolia,KF418944.1,AY372024.1,AY352333.1,KF419082.1,
Betula pumila,KC482105.1,KC474179.1,AY761131.1,,
Bidens aristosa,,,KM347903.1,,
Bidens beckii,,,U67096.1,,
Bidens cernua,HQ589973.1,JN893870.1,U67098.1,,
Bidens discoidea,,,KM347906.1,,
Bidens frondosa,HQ589974.1,HQ593192.1,U67094.1,,
Bidens trichosperma,,AY551476.1,AY553657.1,EU047837.1,
Bidens tripartita,KM360671.1,AY551475.1,U67097.1,EU047835.1,
Bidens vulgata,,,,,
Blephilia ciliata,,GU381743.1,AF369167.1,GU381580.1,
Blephilia hirsuta,,,JQ669077.1,AY506605.1,
Boechera canadensis,,,JX146971.1,EU620405.1,
Boechera grahamii,KJ841137.1,,,,
Boechera laevigata,DQ006074.1,,DQ005987.1,JX146121.1,
Boechera missouriensis,,,JX146968.1,JX146120.1,
Boechera shortii,,,EU274846.1,EU154254.1,
Boechera stricta,,AF144350.1,GQ166414.1,DQ013051.1,
Boehmeria cylindrica,KJ773314.1,KJ772586.1,,,
Boltonia asteroides,,,AF046975.1,,
Botrychium campestre,,,,AY138426.1,
Botrychium dissectum,AY138401.1,AB716746.1,,AY138436.1,
Botrychium matricariifolium,L40967.1,,,KF700429.1,
Botrychium multifldum,,,,,
Botrychium simplex,,,,AY138427.1,
Botrychium virginianum,AY138407.1,AB716741.1,,KF700456.1,
Bouteloua curtipendula,JN681654.1,AF144578.1,EF060131.1,JF791635.1,
Bouteloua hirsuta,,,EF060187.2,JF791682.1,
Brachyelytrum erectum,KJ841140.1,LN554425.1,EU489105.1,EU119358.1,
Brasenia schreberi,M77031.1,DQ185529.1,EF526394.1,GQ380005.1,
Brickellia eupatorioides,KJ773319.1,KJ772589.1,JQ737028.1,,
Bromus ciliatus,JX848490.1,,AY367909.1,,
Bromus kalmii,,,AY367916.1,EU119360.1,
Bromus latiglumis,,,AY367920.1,,
Bromus pubescens,,,AY367927.1,,
Buchnera americana,KJ773321.1,KC542150.1,KC480306.1,,
Bulbostylis capillaris,,,,,
Cakile edentula,HM849832.1,JN584957.1,KJ685080.1,,
Calamagrostis canadensis,KC482155.1,DQ786896.1,FJ377632.1,FJ394566.1,
Calamagrostis stricta,KC482182.1,KC474256.1,FJ377658.1,,
Calamovilfa longifolia,JX848493.1,,GU359300.1,EF156677.1,
Calla palustris,AM905819.1,HQ687765.1,,AY555174.1,
Callirhoe triangulata,,,,,
Callitriche heterophylla,L11681.1,,,,
Callitriche palustris,,,,,
Calopogon oklahomensis,,,AF273354.1,AF519913.1,
Calopogon tuberosus,AF074119.1,AF263635.1,AF273395.1,,
Caltha palustris,KM360689.1,JN895556.1,KF233853.1,FJ626540.1,
Calylophus serrulatus,,,,,
Calystegia sepium,AY100992.1,FJ395438.1,KC528909.1,AY101101.1,
Calystegia spithamaea,,,KC528913.1,,
Camassia scilloides,JQ273890.1,JQ276385.1,KP008322.1,KP008178.1,
Campanula aparinoides,EU643728.1,,,EF088702.1,
Campanula rotundifolia,EU713443.1,JN571959.1,DQ304615.1,EF213153.1,
Campanulastrum americanum,EU713419.1,EU713312.1,AY322044.1,GQ254928.1,
Cardamine bulbosa,,,EU819316.1,EU819242.1,
Cardamine concatenata,DQ006075.1,KJ592878.1,JQ901414.1,FJ464543.1,
Cardamine diphylla,HQ589983.1,HQ593200.1,EU819331.1,EU819249.1,
Cardamine douglassii,,,EU819332.1,EU819247.1,
Cardamine parviflora,,,DQ268404.1,DQ209134.1,
Cardamine pensylvanica,AF020324.1,,DQ268467.1,DQ268303.1,
Cardamine pratensis,KM360692.1,HM850749.1,KF988135.1,AY260636.1,
Carex abdita,,,,,
Carex aggregata,HQ589984.1,HQ593201.1,EU000921.1,,
Carex alata,KJ773337.1,KJ772605.1,AY779066.1,,
Carex albicans,,,AY325479.1,,
Carex albolutescens,,,DQ115088.1,,
Carex albursina,HQ589985.1,,AY757626.1,AY757554.1,
Carex alopecoidea,,,EU000924.1,,
Carex amphibola,DQ006088.1,FJ597181.1,DQ006000.1,,
Carex annectens,,,DQ115092.1,,
Carex aquatilis,KC482236.1,KP273666.1,AY278301.1,AF284892.1,
Carex arctata,HQ589986.1,KJ840877.1,DQ998900.1,DQ998953.1,
Carex argyrantha,,,AY779069.1,,
Carex atherodes,,,,,
Carex atlantica,,,DQ115104.1,,
Carex aurea,HQ589987.1,HQ593202.1,DQ998901.1,AF284960.1,
Carex bebbii,,,AY779071.1,,
Carex bicknellii,,,AY757403.1,AF284937.1,
Carex blanda,HQ589988.1,KJ513583.1,AY757627.1,AY757555.1,
Carex brevior,KJ841157.1,,AY779075.1,,
Carex bromoides,KJ773339.1,FJ597192.1,AY757404.1,AY757474.1,
Carex brunnescens,KF977470.1,HQ593204.1,KF977435.1,AY757481.1,
Carex buxbaumii,,,AY278262.1,EU288428.1,
Carex canescens,GQ469845.1,KC474309.1,AY757406.1,AF284888.1,
Carex careyana,,,AF027482.1,,
Carex cephaloidea,KJ841161.1,,AY757407.1,AY757465.1,
Carex cephalophora,DQ006089.1,,AY757408.1,AY757466.1,
Carex chordorrhiza,FJ548256.1,JN966176.1,AY757409.1,AY757485.1,
Carex communis,KJ593266.1,KJ840878.1,DQ998906.1,AF284874.1,
Carex comosa,KJ841167.1,,AY757575.1,AY757502.1,
Carex conjuncta,,,EU000955.1,,
Carex conoidea,,FJ597199.1,,,
Carex crawei,,,,,
Carex crawfordii,,,AY779089.1,,
Carex crinita,KJ593268.1,,AY757589.1,AY757516.1,
Carex cristatella,HQ589993.1,HQ593205.1,DQ115134.1,,
Carex crus-corvi,,,AY757410.1,AY757469.1,
Carex cryptolepis,,,JX409851.1,,
Carex cumulata,,,AY779091.1,,
Carex davisii,,,,,
Carex debilis,HM849850.1,HM850839.1,AF285029.1,AF284927.1,
Carex deweyana,HQ589994.1,KP273678.1,AY757412.1,AY757475.1,
Carex diandra,KC482264.1,KC474313.1,AY699626.1,AF284924.1,
Carex digitalis,KJ773343.1,,DQ998908.1,AF284933.1,
Carex disperma,KJ841173.1,KJ840881.1,AY757414.1,AY757489.1,
Carex eburnea,,,DQ998912.1,AF284898.1,
Carex echinata,HM849852.1,JN895483.1,EU352224.1,AY757477.1,
Carex emmonsii,,,,,
Carex emoryi,,,GQ223598.1,,
Carex festucacea,,,AY779098.1,,
Carex flava,,,AY278310.1,AF284905.1,
Carex folliculata,,,AY757601.1,AY757528.1,
Carex formosa,,,,,
Carex frankii,KJ773346.1,KJ772613.1,,,
Carex garberi,KC482272.1,KC474320.1,JN999037.1,,
Carex gracilescens,,,,,
Carex gracillima,KJ593272.1,KJ592879.1,DQ998918.1,AF284952.1,
Carex granularis,HQ589995.1,,DQ998919.1,DQ998972.1,
Carex gravida,,,EU001018.1,,
Carex grayi,,,AY757580.1,AY757507.1,
Carex grisea,,FJ597215.1,,,
Carex haydenii,,,AY779106.1,,
Carex hirsutella,,,,,
Carex hirtifolia,HQ589996.1,,AY757611.1,AY757538.1,
Carex hitchcockiana,,FJ597219.1,AY757614.1,AY757541.1,
Carex hystericina,HQ589998.1,HQ593207.1,AY757574.1,AY757501.1,
Carex interior,HQ589999.1,HQ593209.1,AY757419.1,AY757476.1,
Carex intumescens,KJ773351.1,KJ772617.1,KF977436.1,AY757506.1,
Carex jamesii,,FJ597225.1,AF027465.1,,
Carex lacustris,,,,,
Carex laeviconica,,,,,
Carex laevivaginata,,,AY757420.1,AY757470.1,
Carex lasiocarpa,JX644625.1,JN895750.1,AY278297.1,AF284929.1,
Carex laxiculmis,,,,,
Carex laxiflora,HQ590002.1,HQ593210.1,AF284964.1,AF284862.1,
Carex leptalea,KJ773353.1,KJ772619.1,AF285060.1,AF284958.1,
Carex leptonervia,KJ593276.1,KJ592880.1,,,
Carex limosa,JX644630.1,JN896254.1,AY278298.1,AF284899.1,
Carex longii,KJ773354.1,KJ772620.1,JN903145.1,JQ653156.1,
Carex lupuliformis,KJ773355.1,KJ772621.1,,,
Carex lupulina,KJ773356.1,KJ772622.1,AY757576.1,AF284861.1,
Carex lurida,KJ773357.1,KJ772623.1,AF284962.1,AF284860.1,
Carex meadii,,,,,
Carex molesta,,,AY779122.1,,
Carex muehlenbergii,,,AY757422.1,AY757467.1,
Carex muskingumensis,,,AY779126.1,,
Carex nigromarginata,,,AY325478.1,,
Carex normalis,,,AY779127.1,,
Carex oligocarpa,DQ006090.1,FJ597237.1,DQ006001.1,AY757542.1,
Carex oligosperma,,,AY757578.1,AY757505.1,
Carex pallescens,KJ841191.1,JN896250.1,AY278299.1,AF284895.1,
Carex pauciflora,GQ469850.1,JN896248.1,AY757631.1,AF284881.1,
Carex peckii,KJ841192.1,,DQ998940.1,DQ998993.1,
Carex pedunculata,HQ590005.1,HQ593213.1,AY757623.1,AF284867.1,
Carex pellita,,,,,
Carex pensylvanica,HQ590007.1,HQ593215.1,AY757622.1,AF284875.1,
Carex plantaginea,HQ590008.1,,AY757613.1,AY757540.1,
Carex platyphylla,KJ841198.1,KJ840885.1,,,
Carex prairea,,,DQ115252.1,,
Carex prasina,KJ841199.1,,AF285043.1,AF284941.1,
Carex projecta,KF977472.1,,KF977437.1,AY757487.1,
Carex pseudocyperus,KJ841201.1,JN894711.1,EU352234.1,,
Carex radiata,KJ841204.1,KJ840886.1,AY757424.1,AY757492.1,
Carex retrorsa,HQ590010.1,HQ593216.1,AY757577.1,AY757504.1,
Carex richardsonii,,,,,
Carex rosea,HQ590012.1,,AY757425.1,AY757491.1,
Carex rugosperma,KJ841211.1,KJ840887.1,AF284978.1,AF284876.1,
Carex sartwellii,,,DQ115266.1,,
Carex scabrata,HQ590013.1,HQ593217.1,AY757585.1,AY757512.1,
Carex scoparia,,,AY779156.1,,
Carex seorsa,,,DQ115270.1,,
Carex shortiana,,,DQ115272.1,AY757513.1,
Carex siccata,JX848454.1,KP273705.1,EU001064.1,,
Carex sparganioides,HQ590014.1,HQ593218.1,EU001069.1,DQ999000.1,
Carex sprengelii,HQ590015.1,,,,
Carex squarrosa,,KP273707.1,AY757587.1,AY757514.1,
Carex sterilis,,,DQ115286.1,,
Carex stipata,KJ773358.1,KJ513593.1,AY757426.1,AY757471.1,
Carex straminea,,,AY779163.1,,
Carex stricta,,,GQ223638.1,,
Carex suberecta,,,AY779166.1,,
Carex swanii,,,AY757603.1,AY757530.1,
Carex tenera,KJ841210.1,,AY779171.1,,
Carex tenuiflora,JX644649.1,,AY757427.1,AY757482.1,
Carex tetanica,,,,,
Carex tonsa,KJ841211.1,KJ840887.1,AF284978.1,AF284876.1,
Carex torreyi,,,AF285051.1,AF284949.1,
Carex torta,,,AF285021.1,AF284919.1,
Carex tribuloides,KJ841214.1,,AY757428.1,AY757486.1,
Carex trichocarpa,,,AY757570.1,AY757497.1,
Carex trisperma,KJ841215.1,KJ840888.1,AY757429.1,AY757483.1,
Carex tuckermanii,,,AY757573.1,AY757500.1,
Carex typhina,,,AF285032.1,AF284930.1,
Carex utriculata,KJ841217.1,JN966210.1,JN999091.1,,
Carex vesicaria,KJ841218.1,JN314531.1,AY278289.1,,
Carex virescens,,,AY757606.1,AY757533.1,
Carex viridula,HM849865.1,JN896091.1,AY278308.1,AY757524.1,
Carex vulpinoidea,HQ590018.1,KP273710.1,AY757430.1,AF284866.1,
Carex woodii,KJ593288.1,KJ592882.1,,,
Carex x,,,,,
Carpinus caroliniana,X56621.1,AY212016.1,FJ011710.1,AY211399.1,
Carya cordiformis,AF303766.1,HQ593223.1,AF303820.1,AF303793.1,
Carya laciniosa,KF418859.1,,KF201308.1,KF419060.1,
Carya ovalis,AF119186.1,KJ772636.1,AF174618.1,AF303796.1,
Carya ovata,AY263931.1,U92850.1,AF174620.1,AY147074.1,
Carya tomentosa,AF303770.1,AF118039.1,EU646134.1,KF201502.1,
Castilleja coccinea,,JX091314.1,KC480308.1,,
Castilleja sessiliflora,,JX091316.1,KC480317.1,,
Caulophyllum thalictroides,AF190442.1,AB069831.1,L77158.1,FJ626552.1,
Ceanothus americanus,KC539681.1,AF049797.1,HQ325310.1,KC539715.1,
Ceanothus herbaceus,,,HQ325325.1,,
Celastrus scandens,AY788195.1,FJ670050.1,EU328761.1,JQ424300.1,
Celtis occidentalis,KC539683.1,AY257535.1,DQ499147.1,KC539717.1,
Celtis tenuifolia,,,,,
Cenchrus longispinus,,,,,
Cephalanthus occidentalis,X83629.1,AY538377.1,AY205363.1,AF152692.1,
Cerastium nutans,,,,AY521387.1,
Cerastium velutinum,,,,AY521360.1,
Ceratophyllum demersum,AB917052.1,AF543732.1,KM582605.1,AY145335.1,
Ceratophyllum echinatum,,KM582621.1,EF526409.1,,
Cercis canadensis,U74188.1,EU361912.1,JQ425129.1,AF430768.1,
Chaerophyllum procumbens,DQ829734.1,,KJ956551.1,,
Chamaecrista fasciculata,U74187.1,AY386955.1,EF590760.1,,
Chamaecrista nictitans,AM234248.1,EU361914.1,FJ009855.1,FJ009906.1,
Chamaedaphne calyculata,L12606.2,AF015630.1,AF358873.1,JF801634.1,
Chamaesyce maculata,JN249345.1,EU659800.1,HQ645294.1,JN249677.1,
Chamaesyce nutans,HM849991.1,HQ645765.1,HQ645309.1,HQ645615.1,
Chamaesyce polygonifolia,,,,,
Chamerion angustifolium,KM360765.1,JN894188.1,JF976297.1,AY264505.1,
Chasmanthium latifolium,U31101.1,HE573997.1,DQ006028.1,DQ172304.1,
Chelone glabra,HQ384895.1,HQ384535.1,HQ652976.1,HQ412949.1,
Chenopodium leptophyllum,,,KP226651.1,HE577566.1,
Chenopodium simplex,HQ590032.1,HQ593233.1,,,
Chenopodium standleyanum,,,KJ629051.1,HE577603.1,
Chimaphila maculata,FJ357269.1,AF440414.1,AY294625.1,FJ357283.1,
Chimaphila umbellata,AF419818.1,AF440416.1,KC526986.1,FJ357285.1,
Chrysopsis camporum,,,,,
Chrysosplenium americanum,HQ590034.1,AF297636.1,,,
Cicuta bulbifera,KJ841237.1,,AY524715.1,,
Cicuta maculata,KJ773386.1,KJ772659.1,AY524762.1,,
Cimicifuga racemosa,,JQ033484.1,JQ033561.1,AB987695.1,
Cinna arundinacea,,,EU792343.1,EU792436.1,
Circaea alpina,L10216.1,KJ592899.1,GQ232501.1,GQ232690.1,
Circaea canadensis,KJ593310.1,KJ592900.1,AY357770.1,GQ232697.1,
Cirsium altissimum,,,KC603907.1,,
Cirsium discolor,GU817749.1,GU817442.1,AF443692.1,GU817988.1,
Cirsium muticum,,,JX867633.1,,
Cirsium pitcheri,,,JX867634.1,,
Cirsium pumilum,,,JX867632.1,,
Cladium mariscoides,,,,,
Claytonia virginica,,AY764113.1,AY764067.1,,
Clematis pitcheri,GU732536.1,,GU732617.1,,
Clematis virginiana,GU732559.1,HQ593242.1,GU732640.1,,
Clinopodium arkansanum,,,JQ669080.1,JF301362.1,
Clinopodium vulgare,KM360725.1,AY840153.1,DQ667324.1,DQ667513.1,
Clintonia borealis,AB056856.1,LM993138.1,,,
Coeloglossum viride,KJ451495.1,EF079300.1,DQ022882.1,,
Coleataenia anceps,HE573408.1,HE574089.1,AY129694.1,,
Coleataenia longifolia,,,,,
Coleataenia rigidula,,,,,
Collinsia verna,,HQ653458.1,AF385351.1,,
